docidx	widx
58	5692
58	5692
58	5694
58	5751
58	5804
58	5864
58	5865
58	5902
58	5920
58	6065
58	6065
58	6065
58	6065
59	526
59	529
59	796
59	999
59	1423
59	2319
59	2580
59	2913
59	2917
59	2917
59	2917
59	2921
59	2950
59	3141
59	3457
59	3457
59	3860
59	3860
59	3906
59	4093
59	4093
59	4541
59	4541
59	5224
59	5224
59	5224
59	5463
59	5470
59	5505
59	5505
59	5507
59	5568
59	5942
59	5943
59	5943
59	6328
59	6330
59	6330
59	6330
59	6403
60	370
60	987
60	1319
60	1319
60	1709
60	2180
60	2278
60	2278
60	2900
60	3347
60	3481
60	3487
60	3487
60	4156
60	4617
60	4634
60	4885
60	5030
60	5041
60	5342
60	5342
60	5461
60	5603
60	5714
60	5807
60	5807
60	6460
60	6641
61	1226
61	1539
61	1571
61	2483
61	3203
61	3203
61	3203
61	3204
61	3204
61	3670
61	3716
61	4850
61	4939
61	4939
61	4939
61	5036
61	5218
61	5263
61	5263
61	5263
61	5263
61	5263
61	5263
61	5263
61	5265
61	5265
61	5265
61	5265
61	5681
61	6126
61	6208
61	6208
62	44
62	309
62	390
62	889
62	892
62	1671
62	1676
62	1676
62	1676
62	1676
62	1677
62	1739
62	1858
62	2093
62	2583
62	2795
62	3366
62	3367
62	3850
62	3850
62	3850
62	3850
62	3850
62	3850
62	3850
62	3850
62	3850
62	4381
62	4382
62	4382
62	4383
62	5203
62	5203
62	5239
62	5353
62	5812
62	5955
62	6593
62	6593
62	6593
62	6593
62	6728
63	1212
63	1404
63	1476
63	1763
63	1763
63	2532
63	3350
63	3415
63	3629
63	4226
63	4561
63	5156
63	5463
63	5478
63	5493
63	5493
63	5493
63	6053
63	6053
63	6053
63	6056
63	6163
64	39
64	3330
64	4127
64	4351
64	4996
64	5489
64	6571
64	6571
64	6573
64	6573
64	6615
65	46
65	97
65	455
65	455
65	526
65	562
65	562
65	957
65	1146
65	1147
65	1147
65	1413
65	1413
65	1413
65	1413
65	1413
65	1413
65	1539
65	1540
65	2006
65	2349
65	3384
65	3384
65	3439
65	3545
65	3643
65	3643
65	3673
65	4175
65	4300
65	4301
65	4641
65	4927
65	5880
65	6209
65	6236
65	6363
66	1507
66	1649
66	2012
66	2012
66	2012
66	2012
66	2012
66	2012
66	2014
66	2162
66	2401
66	3305
66	3305
66	3468
66	3670
66	3670
66	3670
66	4057
66	4500
66	4500
66	4500
66	4502
66	4502
66	5463
66	5613
66	5864
66	6206
66	6539
66	6720
66	6725
66	6727
66	6727
67	224
67	224
67	225
67	225
67	398
67	458
67	1307
67	1719
67	2576
67	2586
67	3101
67	3966
67	3966
67	4078
67	4078
67	4103
67	4296
67	4296
67	4296
67	4296
67	4296
67	4296
67	4296
67	4296
67	4296
67	5152
67	5161
67	5481
67	5481
67	5778
67	5778
67	5845
67	6434
68	517
68	1212
68	2141
68	2242
68	3684
68	5036
68	5152
68	5171
68	5857
68	6073
68	6154
68	6154
68	6154
68	6389
68	6535
69	514
69	1585
69	1740
69	1811
69	2267
69	2267
69	2305
69	2417
69	2792
69	2913
69	3814
69	3850
69	3850
69	4209
69	4394
69	5271
69	5352
69	5604
69	6382
69	6569
70	1130
70	1329
70	1780
70	2012
70	2093
70	2159
70	2287
70	2289
70	2289
70	2289
70	2289
70	2289
70	2289
70	2289
70	2289
70	2320
70	2323
70	2323
70	2323
70	2323
70	2323
70	2884
70	2913
70	2913
70	3247
70	3309
70	3382
70	3382
70	3670
70	3670
70	3672
70	4113
70	4428
70	4792
70	4996
70	4996
70	4996
70	4996
70	5087
70	5200
70	5224
70	5463
70	6403
70	6403
70	6403
71	1215
71	1659
71	2403
71	2407
71	2469
71	2469
71	2471
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2659
71	2660
71	2660
71	3488
71	3579
71	3860
71	3860
71	4195
71	4617
71	4617
71	4617
71	4617
71	4617
71	4617
71	4617
71	4636
71	5568
71	6177
71	6196
72	89
72	1176
72	1278
72	1572
72	1918
72	2055
72	2258
72	2278
72	2380
72	2597
72	2737
72	2908
72	3247
72	3259
72	3309
72	3372
72	3582
72	3817
72	3923
72	4237
72	4275
72	4399
72	4525
72	4859
72	5110
72	5221
72	5221
72	5421
72	6048
72	6262
72	6527
72	6571
72	6593
72	6593
72	6593
72	6593
72	6593
72	6593
73	158
73	458
73	1379
73	1672
73	1672
73	1672
73	1672
73	1985
73	1985
73	1985
73	1985
73	1985
73	1985
73	2153
73	2257
73	2403
73	2447
73	2867
73	3184
73	3394
73	3584
73	3860
73	4227
73	4227
73	4239
73	4500
73	4502
73	4502
73	4573
73	4573
73	4573
73	4573
73	4667
73	4926
73	5845
73	5845
73	5903
73	6513
73	6682
73	6707
73	6719
74	458
74	1313
74	1341
74	1969
74	2089
74	2417
74	3271
74	4060
74	5233
74	5426
74	5426
74	5501
74	5610
74	5923
74	5931
74	5931
74	5951
74	5973
74	6477
74	6568
75	637
75	778
75	778
75	778
75	892
75	957
75	1018
75	1633
75	1939
75	2101
75	2101
75	2733
75	2736
75	2736
75	2736
75	2736
75	3401
75	3486
75	3486
75	3959
75	4153
75	4348
75	4561
75	4561
75	4592
75	4827
75	4965
75	4965
75	4965
75	5576
75	5587
75	5714
75	5714
75	5769
75	5845
75	5845
75	5878
75	5878
75	5883
75	5958
75	6194
75	6262
75	6263
75	6593
75	6593
75	6593
75	6593
75	6593
75	6720
75	6720
75	6720
76	772
76	772
76	986
76	986
76	1112
76	1340
76	1627
76	1658
76	1671
76	1671
76	1671
76	1671
76	1671
76	1671
76	1672
76	1672
76	1672
76	2072
76	2073
76	2075
76	2093
76	2882
76	3175
76	3480
76	3880
76	4131
76	4386
76	4571
76	4753
76	5336
76	5336
76	5336
76	5373
76	5453
76	5762
76	5762
76	5762
76	5763
76	5763
76	6059
76	6473
76	6564
76	6753
77	168
77	512
77	512
77	841
77	1539
77	1539
77	1539
77	1541
77	2278
77	2409
77	2517
77	3012
77	3144
77	3276
77	3547
77	3592
77	3774
77	4568
77	4696
77	4933
77	5101
77	5112
77	5151
77	5172
77	5218
77	5218
77	5218
77	5714
77	5714
77	5714
77	5943
77	5943
77	6136
77	6165
78	115
78	1191
78	1920
78	2012
78	2012
78	2012
78	2012
78	2012
78	2012
78	2012
78	2079
78	2783
78	3486
78	3604
78	3604
78	3774
78	4196
78	4641
78	4904
78	5046
78	5083
78	5083
78	5224
78	5224
78	5224
78	5224
78	5224
78	5862
78	5947
78	5947
78	6535
78	6593
78	6720
78	6720
78	6720
78	6727
79	514
79	811
79	1009
79	2184
79	3966
79	4078
79	5641
79	6020
79	6020
79	6085
79	6085
79	6085
79	6085
80	56
80	56
80	61
80	425
80	425
80	425
80	539
80	990
80	1366
80	1423
80	1423
80	1423
80	1423
80	2033
80	2403
80	2403
80	2403
80	2403
80	2580
80	2580
80	3117
80	3477
80	3670
80	3670
80	3860
80	3860
80	3875
80	3875
80	3875
80	3875
80	3875
80	3876
80	3876
80	3876
80	4366
80	4720
80	4882
80	4948
80	5161
80	5583
80	5583
80	5583
80	6191
80	6191
80	6191
80	6194
80	6593
80	6608
80	6608
80	6608
80	6632
81	407
81	407
81	407
81	1025
81	1107
81	1163
81	1929
81	2241
81	2303
81	2417
81	2535
81	3308
81	3308
81	3447
81	3861
81	4117
81	4117
81	4402
81	5248
81	5892
81	6543
82	1676
82	1676
82	1680
82	1711
82	2278
82	3158
82	3866
82	3875
82	3875
82	3875
82	3875
82	3875
82	3895
82	4394
82	4695
82	4787
82	5156
82	5702
82	5714
82	5818
82	6136
82	6514
82	6515
83	426
83	1764
83	2232
83	2417
83	3370
83	3487
83	3549
83	3552
83	3584
83	3670
83	3802
83	4188
83	4230
83	4473
83	4995
83	4995
83	4995
83	5067
83	5067
83	5067
83	5067
83	5264
83	5507
83	5852
83	5852
83	5852
83	5943
83	5951
83	6194
83	6535
83	6535
83	6593
83	6593
83	6651
83	6651
84	573
84	574
84	1026
84	1026
84	1200
84	1200
84	1201
84	2178
84	2987
84	3253
84	3350
84	4074
84	4623
84	4623
84	4623
84	4623
84	4623
84	5045
84	5138
84	5410
84	5505
