docidx	widx
266	6475
266	1751
266	1461
266	2743
266	1119
266	1119
266	6394
267	5591
267	574
267	4297
267	1715
267	611
267	4029
267	4296
267	3144
268	5342
268	774
268	5550
268	2958
268	2651
269	1715
269	3330
269	1676
269	2940
269	1676
269	5054
269	6077
269	2133
269	3875
269	5341
269	5897
269	6194
269	3875
269	2580
270	965
270	329
270	4351
270	2643
270	6737
270	2643
270	1653
271	892
271	1304
271	898
271	5087
271	6593
271	3365
271	3488
271	1514
272	6542
272	1095
272	1291
272	947
272	4797
272	3405
272	1129
273	3144
273	5505
273	3636
273	6605
273	168
273	5714
273	4250
273	2326
273	4872
273	5960
274	1500
274	3399
274	2749
274	1500
274	6414
274	720
274	635
274	5171
274	1985
275	4138
275	1358
275	1026
275	1204
275	6602
275	1665
275	6081
275	1192
275	3802
275	5459
275	5613
276	1698
276	1528
276	5505
276	3860
276	4333
276	3783
276	491
276	491
277	491
277	1366
277	1797
277	158
277	1558
277	4296
278	412
278	552
278	574
278	1147
278	6170
278	3797
278	574
279	1539
279	5865
279	1717
279	1779
279	1539
280	5144
280	2039
280	6260
280	6615
280	6615
281	6267
281	5692
281	4029
281	1939
282	357
282	5253
282	4534
282	6087
282	6087
282	3786
283	3576
283	2623
283	6232
283	2990
283	5157
283	4521
284	3779
284	715
284	5715
284	5706
284	5456
284	669
284	491
284	489
284	3895
284	3780
285	5482
285	4297
285	4103
285	5043
285	5604
285	1014
285	5846
286	6065
286	5610
286	3637
287	370
287	3676
288	4153
288	2349
288	1413
288	6170
288	2063
288	1381
288	4211
289	3990
289	1574
289	5299
289	6421
289	3990
289	2258
289	304
289	3237
289	6572
289	4250
289	491
290	4534
290	2089
290	5731
290	6729
290	1981
291	1381
291	42
291	912
291	1649
291	912
291	912
291	1297
291	3957
291	4259
292	6593
292	66
292	2160
292	5746
292	523
292	6593
292	4139
292	3933
292	6593
292	249
292	526
293	5588
293	890
293	2033
293	5110
293	5889
294	3629
294	5289
294	5703
294	6562
294	3044
295	4433
295	6007
295	6007
295	5714
295	5714
295	6585
295	5304
296	4351
296	4550
296	2144
296	5664
296	3828
296	3930
296	1991
296	2532
296	611
296	5483
297	3850
297	1689
297	5742
297	2200
298	2990
298	4402
298	5854
298	5854
298	36
299	5714
299	1190
299	5945
299	6715
299	3246
300	3574
300	1758
300	1780
300	1488
300	4074
300	5088
